"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",23,1,2,0,"< 1 Year","No",40116,152,129,0
"Male",65,1,28,0,"1-2 Year","Yes",43186,122,294,0
"Female",26,1,50,1,"< 1 Year","No",25914,152,134,0
"Male",62,1,3,1,"1-2 Year","No",159243,26,270,0
"Male",20,1,14,1,"< 1 Year","No",21698,160,186,0
"Female",24,1,44,1,"< 1 Year","No",43638,152,90,0
"Female",46,1,18,0,"1-2 Year","Yes",31973,131,174,0
"Female",37,1,8,1,"1-2 Year","No",45965,26,298,0
"Male",29,1,32,0,"1-2 Year","Yes",37526,157,167,1
"Female",20,1,30,0,"< 1 Year","Yes",24739,160,179,0
"Male",78,1,30,1,"1-2 Year","No",2630,26,218,0
"Female",22,1,8,1,"< 1 Year","No",47863,152,139,0
"Male",22,1,30,1,"< 1 Year","No",31342,152,11,0
"Female",29,1,15,0,"< 1 Year","No",26821,152,260,0
"Male",61,1,28,1,"1-2 Year","No",27894,52,216,0
"Male",38,1,28,1,"1-2 Year","No",31685,124,284,0
"Male",56,1,24,0,"1-2 Year","Yes",29895,26,36,1
"Male",61,1,8,0,"1-2 Year","Yes",2630,26,107,1
"Male",28,1,47,1,"< 1 Year","No",39728,152,178,0
"Male",26,1,28,0,"1-2 Year","Yes",34404,124,108,0
"Male",43,1,3,0,"1-2 Year","Yes",16129,124,187,1
"Female",43,1,50,1,"1-2 Year","No",32275,152,126,0
"Female",42,1,28,0,"1-2 Year","Yes",41464,26,169,1
"Male",48,1,28,0,"> 2 Years","Yes",43874,26,121,1
"Female",25,1,50,1,"< 1 Year","No",22864,152,294,0
"Male",20,1,29,0,"< 1 Year","Yes",2630,160,262,0
"Female",24,1,46,1,"< 1 Year","No",54258,152,161,0
"Female",32,1,8,1,"< 1 Year","No",47555,152,98,0
"Male",21,1,3,1,"< 1 Year","No",24182,160,104,0
"Female",44,1,32,0,"1-2 Year","Yes",32766,26,93,0
"Female",49,1,15,0,"1-2 Year","Yes",33029,124,274,1
"Female",43,1,11,0,"1-2 Year","Yes",2630,26,260,1
"Female",25,1,32,0,"< 1 Year","Yes",28604,152,60,0
"Male",26,1,50,1,"< 1 Year","No",29475,152,19,0
"Male",25,1,15,1,"< 1 Year","No",29278,152,78,0
"Male",24,1,7,1,"< 1 Year","No",22969,152,74,0
"Male",60,1,8,0,"1-2 Year","Yes",37835,124,295,0
"Female",28,1,14,1,"< 1 Year","No",29317,26,116,0
"Male",23,1,46,0,"< 1 Year","Yes",41416,151,191,0
"Female",26,1,36,0,"< 1 Year","Yes",53912,152,159,1
"Male",57,1,33,1,"1-2 Year","No",2630,138,4692,0
"Female",23,1,21,1,"< 1 Year","No",20428,152,282,0
"Male",64,1,28,0,"> 2 Years","Yes",37559,124,123,1
"Male",33,1,21,1,"< 1 Year","No",27830,152,154,0
"Male",23,1,29,1,"< 1 Year","No",27088,151,114,0
"Male",22,1,52,0,"1-2 Year","Yes",2630,156,118,0
"Male",45,1,28,0,"1-2 Year","Yes",2630,124,23,1
"Male",41,1,47,1,"1-2 Year","Yes",28105,124,154,0
"Female",25,1,41,1,"< 1 Year","No",33403,152,204,0
"Male",27,1,36,0,"< 1 Year","Yes",35239,152,51,0
"Male",63,1,28,0,"1-2 Year","Yes",44808,124,101,1
"Female",22,1,17,0,"< 1 Year","Yes",2630,160,221,0
"Male",25,1,47,0,"< 1 Year","No",34574,152,32,0
"Female",39,1,28,1,"1-2 Year","No",31498,26,186,0
"Male",39,1,28,0,"1-2 Year","Yes",36338,124,152,1
"Male",53,1,28,0,"1-2 Year","Yes",43144,26,210,1
"Male",28,1,4,1,"1-2 Year","No",29348,156,133,0
"Female",22,1,44,0,"< 1 Year","Yes",37826,152,185,0
"Male",23,1,15,1,"< 1 Year","No",26764,152,187,0
"Male",48,1,8,0,"1-2 Year","Yes",54243,26,284,0
"Female",24,1,3,0,"< 1 Year","Yes",20256,152,10,0
"Male",25,1,25,1,"< 1 Year","No",22651,152,186,0
"Male",64,1,50,0,"1-2 Year","Yes",45823,26,243,0
"Female",47,1,28,1,"1-2 Year","Yes",2630,52,185,0
"Female",21,1,9,0,"< 1 Year","Yes",2630,160,274,0
"Female",36,1,27,0,"1-2 Year","Yes",36663,124,56,0
"Female",51,1,28,0,"1-2 Year","Yes",49960,26,226,1
"Female",23,1,41,0,"< 1 Year","Yes",37660,151,237,0
"Female",24,1,45,1,"< 1 Year","No",26318,152,185,0
"Male",52,1,15,0,"1-2 Year","Yes",29414,155,173,1
"Male",24,1,15,0,"< 1 Year","No",2630,152,218,0
"Female",42,1,28,0,"1-2 Year","Yes",49095,13,248,1
